"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g0743500",1643.22083771255,5.94314350851917,0.290035815212392,20.4910676433772,2.58658649786513e-93,3.66216306614882e-91
"Os07g0489300",243.954180094041,-5.83113070440164,0.284702631601788,-20.481478065709,3.14955020246872e-93,4.43388666855498e-91
"Os02g0140800",473.048208200868,4.61917044140553,0.225849924177943,20.4523887188298,5.72042986508312e-93,8.00763224673245e-91
"Os03g0826200",4732.59476557316,-3.48312563584635,0.17031722088831,-20.4508130045787,5.90823130276233e-93,8.22405881958102e-91
"Os06g0474800",994.656078595733,9.08471348048118,0.444514037510204,20.437405152301,7.77653477619629e-93,1.07642012374199e-90
"Os04g0488700",430.370403905307,-3.96521420775429,0.194020434557239,-20.4370957976826,7.82597446115588e-93,1.07724538457811e-90
"Os03g0330200",477.628292767334,5.04233070935217,0.247278547869693,20.3912986095717,1.99772444892189e-92,2.73467506469268e-90
"Os01g0920100",5243.03126022141,2.3890887080666,0.117263036042524,20.3737579095277,2.85876311223541e-92,3.89184470504707e-90
"Os06g0697200",595.398991548076,4.34306700080564,0.213308943698597,20.3604543039805,3.75089724850077e-92,5.07846891399472e-90
"Os01g0848200",4047.86658659498,4.59433605967837,0.225671764355113,20.3584886784897,3.90442396191276e-92,5.25760394045177e-90
"Os11g0603200",20435.7922433044,-3.20221551046104,0.157612716205393,-20.3169870271639,9.09923949628996e-92,1.2186586864842e-89
"Os07g0190000",530.29116061657,-7.77397910552922,0.384169218832076,-20.2358198534571,4.7368289127063e-91,6.3099145145228e-89
"Os04g0364800",1341.37512476857,-5.18814019203696,0.2565039837058,-20.2263532795169,5.73938835381861e-91,7.604536109228e-89
"Os01g0769900",2437.49203458616,3.25899720360958,0.161185411384757,20.2189340561981,6.6708951739716e-91,8.79174307050502e-89
"Os08g0425800",10872.1050834435,3.09189194793696,0.153070003017366,20.1992022407302,9.94915202351165e-91,1.30428645336798e-88
"Os05g0122700",869.713747457683,7.0804514546005,0.350875430274091,20.1793880211832,1.48574157042532e-90,1.93748520475938e-88
"Os03g0233000",614.446421358095,-8.17063493589079,0.405277024349965,-20.1606171704303,2.17156529655134e-90,2.8170090760551e-88
"Os04g0571300",3375.06913301225,5.17083998183375,0.257062263352255,20.1151266405372,5.43999779538346e-90,7.02014715501125e-88
"Os12g0263200",764.388533199029,-3.39114507656581,0.168604953069834,-20.1129623704545,5.68265160040669e-90,7.29528801571382e-88
"Os03g0851200",2210.96556086825,-2.96228672504939,0.147469484662695,-20.0874555968307,9.50076394308557e-90,1.21340426916408e-87
"Os04g0509600",1137.74068141168,-4.39842059652277,0.219336149765334,-20.0533318435133,1.88769431846381e-89,2.39853344249117e-87
"Os09g0380050",652.334975830284,2.34813934250624,0.117531245245246,19.9788519010966,8.41365664700373e-89,1.0635978099123e-86
"Os02g0705100",6654.52943404003,-3.99068186679176,0.201008186893463,-19.8533299984785,1.03134398514486e-87,1.29713755938753e-85
"Os04g0413100",394.914210961446,-7.93463492734576,0.400036232068282,-19.8347906796387,1.49135890015571e-87,1.86623229642212e-85
"Os01g0178400",279.424143565018,-4.46399984223035,0.225107512288744,-19.8305236322118,1.62340968107036e-87,2.0212674204965e-85
"Os03g0722500",365.924989882271,4.24690777572119,0.214376376251564,19.8105213362575,2.41569911318195e-87,2.99268884636546e-85
"Os06g0131300",971.500379867932,-4.0428143458993,0.20418326074722,-19.7999303718845,2.98105492050085e-87,3.67470635648007e-85
"Os11g0264500",221.121585699992,-4.84119422656216,0.244961812668897,-19.76305683656,6.19377946322598e-87,7.59719177031436e-85
"Os08g0114100",7635.16657168579,-5.1137390157969,0.25916401543636,-19.7316707228308,1.15296250619849e-86,1.40723901557044e-84
"Os08g0468100",777.205757887246,-4.74945436839169,0.240855422331425,-19.7191091751976,1.47808855608825e-86,1.79522549775483e-84
"Os01g0919400",5710.3470752999,-2.9339038881099,0.148880288273067,-19.7064629719733,1.89777073229116e-86,2.29371050897454e-84
"Os01g0556700",781.207381345956,-4.48503074538341,0.227609878160217,-19.7049037661992,1.95713924099464e-86,2.35398247447205e-84
"Os07g0633200",2075.13450399086,3.15059759777334,0.159937986112201,19.6988700080487,2.20486206524632e-86,2.63912402853179e-84
"Os03g0178100",1873.43874273944,-4.49118175053648,0.22812115664583,-19.6877037473086,2.74870378337768e-86,3.27426123272831e-84
"Os02g0744700",4297.88782260152,-3.5932399278433,0.182608736822997,-19.6772618351018,3.37764938811803e-86,4.00421143011485e-84
"Os04g0450100",2806.29183789114,-3.04422778944708,0.154733322485788,-19.6740284545153,3.6001026726239e-86,4.24760685331439e-84
"Os03g0230500",2142.0317160152,-3.41319544414706,0.173681583151969,-19.6520286273563,5.55477946910129e-86,6.52278535099159e-84
"Os02g0764500",2711.18598146606,-3.57919934734719,0.182255356543206,-19.6383766997745,7.26846389580592e-86,8.49484575218789e-84
"Os09g0497600",1963.27920990177,-2.36857912327044,0.120690186312976,-19.6252835100296,9.40509696086766e-86,1.09403796901135e-83
"Os01g0919800",1098.42401242095,-5.33137892184244,0.271974199590652,-19.6025171868019,1.47161117932907e-85,1.7038369247774e-83
"Os06g0698300",3452.61300081049,5.15421369847476,0.26454434246723,19.4833639245686,1.51959426333501e-84,1.75120870058844e-82
"Os11g0644600",2488.050892705,-4.27415183926221,0.219403727935693,-19.4807621523868,1.59881720550373e-84,1.8339765694799e-82
